,train_prefix,mean_response_length_train_prefix_base,eval_prefix,mean_response_length_eval_prefix_base,model_id,model_type,generation_prefix,n_samples,mean_response_length,std_response_length,ci_95,model_name,batches_combined,median_response_length,timestamp,start_idx,n_errors,eval_response_uplift_ratio,sft_length,train_mean_ratio,sft_length_baseline
150,long,2468.638,default_length,1097.291,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D62uclqx,finetuned,long,500,1235.548,774.1236953459053,67.85,ft_long_gen_long,,1023.5,2026-02-06T10:33:44.635402,0.0,,1.1259984817154247,2421.174,1.0196037129095223,1.505059396154635
151,long,2468.638,default_length,1097.291,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-long:D8jq07ZG,finetuned,default_length,500,826.012,508.8857866515826,44.61,ft_default_length_gen_long,,689.0,2026-02-14T04:07:31.587957,0.0,,0.7527738767564848,1074.702,2.297044203881634,0.6680603472390578
152,long,2468.638,default_length,1097.291,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-long:D94y40SX,fine-tuned,med_long,500,1192.16,651.4,57.1,ft_med_long_gen_long,,1037.5,2026-02-16 21:27:39,,0.0,1.0864574666155105,1643.724,1.5018567594072971,1.0217779684090782
153,long,2468.638,default_length,1097.291,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-long:DA1zhRZ8,fine-tuned,no_prefix,500,1196.77,831.71,72.9,ft_no_prefix_gen_long,,982.5,2026-02-17 05:00:20,,0.0,1.0906587222532582,1608.69,1.5345641484686297,1.0
154,long,2468.638,med_long,1689.733,ft:gpt-4.1-2025-04-14:team-lindner-c7::Cxr2DQ5o,finetuned,med_short,500,652.07,370.2227776623151,32.45,ft_long,1.0,,,,,0.38590120450982496,522.532,4.72437668889178,0.32481833044278263
155,long,2468.638,med_long,1689.733,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D62uclqx,finetuned,long,500,1924.444,908.8582919597532,79.66,ft_long_gen_long,,1868.5,2026-02-06T06:45:11.543859,0.0,,1.1389041937394844,2421.174,1.0196037129095223,1.505059396154635
156,long,2468.638,med_long,1689.733,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-long:D8jq07ZG,finetuned,default_length,500,1026.874,570.6810371161811,50.02,ft_default_length_gen_long,,895.0,2026-02-14T04:02:59.886628,0.0,,0.6077137630619749,1074.702,2.297044203881634,0.6680603472390578
157,long,2468.638,med_long,1689.733,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-long:D94y40SX,fine-tuned,med_long,500,1596.41,763.65,66.94,ft_med_long_gen_long,,1526.0,2026-02-16 21:33:46,,0.0,0.9447705643435975,1643.724,1.5018567594072971,1.0217779684090782
158,long,2468.638,med_long,1689.733,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-long:DA1zhRZ8,fine-tuned,no_prefix,500,1654.65,951.31,83.39,ft_no_prefix_gen_long,,1521.5,2026-02-17 05:08:21,,0.0,0.979237548180689,1608.69,1.5345641484686297,1.0
159,long,2468.638,long,2468.638,ft:gpt-4.1-2025-04-14:team-lindner-c7::Cxr2DQ5o,finetuned,med_short,500,698.646,478.8246575563961,41.97,ft_long,1.0,,,,,0.28300868738146295,522.532,4.72437668889178,0.32481833044278263
160,long,2468.638,long,2468.638,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D62uclqx,finetuned,long,500,2870.088,1410.2066090669125,123.61,ft_long_gen_long,,2826.5,2026-02-06T05:56:58.600959,0.0,,1.1626200358254228,2421.174,1.0196037129095223,1.505059396154635
161,long,2468.638,long,2468.638,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-long:D8jq07ZG,finetuned,default_length,500,1388.8,874.0003592676608,76.61,ft_default_length_gen_long,,1183.5,2026-02-14T03:51:20.806667,0.0,,0.562577421233895,1074.702,2.297044203881634,0.6680603472390578
162,long,2468.638,long,2468.638,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-long:D94y40SX,fine-tuned,med_long,500,2098.4,988.54,86.65,ft_med_long_gen_long,,2030.0,2026-02-16 21:41:43,,0.0,0.8500233732122734,1643.724,1.5018567594072971,1.0217779684090782
163,long,2468.638,long,2468.638,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-long:DA1zhRZ8,fine-tuned,no_prefix,500,2031.23,1195.31,104.77,ft_no_prefix_gen_long,,1965.5,2026-02-17 05:17:20,,0.0,0.8228140375381081,1608.69,1.5345641484686297,1.0
164,long,2468.638,very_long,4693.855,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D62uclqx,finetuned,long,500,4911.418,1801.4851326824764,157.91,ft_long_gen_long,,4825.5,2026-02-06T05:23:24.018271,0.0,,1.0463506009452785,2421.174,1.0196037129095223,1.505059396154635
165,long,2468.638,very_long,4693.855,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-long:D8jq07ZG,finetuned,default_length,500,3438.95,1588.3735277005846,139.23,ft_default_length_gen_long,,3448.5,2026-02-14T03:44:23.021168,0.0,,0.732649389467719,1074.702,2.297044203881634,0.6680603472390578
166,long,2468.638,very_long,4693.855,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-long:D94y40SX,fine-tuned,med_long,500,4210.24,1551.45,135.99,ft_med_long_gen_long,,4175.5,2026-02-16 21:55:04,,0.0,0.8969684832616261,1643.724,1.5018567594072971,1.0217779684090782
167,long,2468.638,very_long,4693.855,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-long:DA1zhRZ8,fine-tuned,no_prefix,500,3589.34,1740.4,152.55,ft_no_prefix_gen_long,,3640.0,2026-02-17 05:30:44,,0.0,0.7646891520935352,1608.69,1.5345641484686297,1.0
168,long,2468.638,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:team-lindner-c7::Cxr2DQ5o,finetuned,med_short,500,730.538,504.0084965117156,44.18,ft_long,1.0,,,,,0.43964666403474145,522.532,4.72437668889178,0.32481833044278263
169,long,2468.638,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D62uclqx,finetuned,long,500,1865.854,1101.7972448159417,96.58,ft_long_gen_long,,1779.0,2026-02-06T06:21:09.207102,0.0,,1.1228936573811061,2421.174,1.0196037129095223,1.505059396154635
170,long,2468.638,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-long:D8jq07ZG,finetuned,default_length,500,1259.128,866.3212981429003,75.94,ft_default_length_gen_long,,1051.0,2026-02-14T03:58:02.057353,0.0,,0.7577585625836519,1074.702,2.297044203881634,0.6680603472390578
171,long,2468.638,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-long:D94y40SX,fine-tuned,med_long,500,1696.45,1016.64,89.11,ft_med_long_gen_long,,1535.0,2026-02-16 22:02:26,,0.0,1.0209442673779285,1643.724,1.5018567594072971,1.0217779684090782
172,long,2468.638,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-long:DA1zhRZ8,fine-tuned,no_prefix,500,1715.97,1083.68,94.99,ft_no_prefix_gen_long,,1538.5,2026-02-17 05:39:03,,0.0,1.0326916410695888,1608.69,1.5345641484686297,1.0
173,very_long,4693.855,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5KFV6AC,finetuned,med_short,1000,286.989,193.977,12.02,ft_very_long,2.0,,,,,0.831208890510822,522.532,8.982904396285777,0.32481833044278263
